X,Y,OBJECTID,FEATURE_ID,NAME,ADDRESS,ZIP,City,INVENTORY_ID,DISTRICT,OWNERSHIP_TYPE,OWNER,REG_SPACES,ACCESSIBLE,XCOORD,YCOORD,LONGITUDE,LATITUDE,ADDRESS_NUM,ON_PREFIX,ON_STNAME,ON_STYPE,ON_SUFFIX,CROSS_PREFIX,CROSS_STNAME,CROSS_STYPE,CROSS_SUFFIX
-122.1411206,47.58564203,99,570009,St Andrews Lutheran Church P&R,2650 148th Ave SE,98007,Bellevue,911,E,L,ST,50,0,1317691.56,216366.7212,-122.1411223,47.58563986,2650, ,148th,Ave,SE,SE,28th,St, 
-122.1795863,47.38719527,100,570010,Kent Covenant Church P&R,12010 SE 240th St,98031,Kent,521,S,L, ,20,0,1306934,144155,-122.1795892,47.38719316,12010,SE,240th,St, , , , , 
-122.0578409,47.53955118,101,570012,Tibbetts Valley Park P&R,965 12th Ave NW,98027,Issaquah,540,E,L, ,27,0,1337973.353,199218.3992,-122.0578428,47.53954879,965, ,12th,St,NW, ,Newport,Way, 
-122.3326694,47.28291001,102,570015,Sunrise United Methodist Church P&R,150 S 356th St,98003,Federal Way,541,S,L, ,25,0,1268277.007,106823.4582,-122.3326728,47.28290824,150,S,356th,St, , , , , 
-122.2935359,47.35684935,103,570016,All Saints Lutheran Church P&R,27225 Military Rd S,98001,Auburn,542,S,L, ,75,0,1278500.588,133602.5037,-122.293539,47.35684748,27225, ,Military,Rd,S, , , , 
-122.2921456,47.36178252,104,570017,St Columba Episcopal Church P&R,26715 Military Rd S,98032,Kent,543,S,L, ,15,0,1278879.251,135395.0998,-122.2921486,47.36178065,26715, ,Military,Rd,S, , , , 
-122.2507725,47.50250911,105,570021,Community Bible Fellowship P&R,11227 Renton Ave S,98178,Seattle,591,S,L, ,29,0,1290077,186527,-122.2507747,47.50250716,11227, ,Renton,Ave,S,S,112th,Pl, 
-122.2086088,47.48112344,106,570023,Renton City Municipal Garage P&R,655 S 2nd St,98055,Renton,569,S,L, ,150,0,1300357.812,178538.4106,-122.2086111,47.4811214,655,S,2nd,St, , ,Logan,Ave,S
-122.3436386,47.51764082,107,570026,Sonrise Evangelical Free Church P&R,610 SW Roxbury,98108,Seattle,553,N,L, ,10,0,1267235.02,192482.07,-122.3436408,47.51763899,610,SW,Roxbury, , , ,6th,Ave,SW
-122.0191914,47.54505094,108,570030,Issaquah Highlands P&R,1755 Highlands Dr,98027,Issaquah,759,E,P,KC,1010,0,1347549.6,201074.7836,-122.0191933,47.54504847,1755, ,Highllands,Dr, , , , , 
-122.2107022,47.61726393,109,570034,Grace Lutheran Church P&R,9625 NE 8th St,98009,Bellevue,508,E,L, ,50,0,1300729,228199,-122.2107038,47.61726191,9625,NE,8th,St, , ,96th,Ave,NE
-122.0039198,47.30961631,110,570035,Black Diamond Masonic Temple P&R,32523 3rd Ave,98010,Black Diamond,590,S,L, ,30,0,1350014.634,115148.4676,-122.003923,47.3096138,32523, ,3rd,Ave, , , , , 
-122.2076698,47.48058412,111,570037,Renton P&R (Metropolitan Place),232 Burnett Ave S,98057,Renton,756,S,P,KC,150,0,1300586.452,178337.568,-122.2076721,47.48058207,232, ,Burnett, Ave,S, , , , 
-122.0812614,47.74275881,112,570038,Cottage Lake Assembly of God P&R,15737 Avondale Rd,98072,Woodinville,560,E,L, ,20,0,1333391.111,273424.7481,-122.0812624,47.74275663,15737, ,Avondale,Rd, , , , , 
-122.3463382,47.76680159,113,570041,Shoreline P&R,18821 Aurora Ave N,98133,Shoreline,709,N,P,S,393,0,1268354.796,283362.9306,-122.3463393,47.76679993,18821, ,Aurora,Ave,N, , , , 
-122.3237721,47.73578192,114,570042,North Jackson Park P&R,14711 5th Ave NE,98155,Shoreline,705,N,P,S,68,0,1273684.183,271941.8021,-122.3237733,47.73578014,14711, ,5th,Ave,NE, , , , 
-122.2013976,47.75959912,115,570045,Bothell P&R,10320 Woodinville Dr,98011,Bothell,701,E,P,KC,220,0,1303946.375,280068.937,-122.2013986,47.75959716,10320, ,Woodinville,Dr, , , , , 
-122.1525556,47.75652798,116,570046,Woodinville P&R,17800 140th Ave NE,98072,Woodinville,711,E,P,S,438,0,1315938.484,278739.1123,-122.1525566,47.75652593,17800, ,140th,Ave,NE, , , , 
-122.1853373,47.66792778,117,570048,Houghton P&R,7024 116th Ave NE,98033,Kirkland,717,E,P,S,470,0,1307308.5,246565.6418,-122.1853387,47.66792572,7024, ,116th,Ave,NE, , , , 
-122.1963742,47.64412919,118,570049,South Kirkland P&R,10610 NE 38th Pl,98033,Kirkland,728,E,P,KC,833,0,1304435.75,237934.063,-122.1963758,47.64412715,10612,NE,38th,PL, , ,106th,Ave,NE
-122.3261949,47.70182518,119,570056,Thornton Place Garage P&R ,3rd Ave NE & NE 100th St,98125,Seattle,760,N,P,KC,350,,1272847.847,259569.4005,-122.3261962,47.70182339,,,3rd,Ave,NE,NE,100th,St,
-122.4600118,47.4519479,120,570057,Ober Park P&R,17106 Vashon Hwy SW,98070,Vashon,737,S,P,KC,48,0,1237978,169111,-122.4600143,47.45194623,17106, ,Vashon,Hwy,SW, , , , 
-122.2991719,47.3583929,121,570059,Star Lake P&R,27015 26th Ave S,98032,Kent,745,S,P,S,540,0,1277114.576,134191.9931,-122.299175,47.35839104,27015, ,26th,Ave,S, , , , 
-122.0449679,47.39615787,122,570060,Maple Valley P&R,23033 Renton-Maple Valley Rd,98038,Maple Valley,736,S,P,S,122,0,1340329.133,146869.6591,-122.0449706,47.39615544,23033, ,Renton-Maple Valley,Rd, ,SE,231st,St, 
-122.5065618,47.33318229,123,570062,Tahlequah P&R,SW Tahlequah Rd & Vashon Hwy SW,98070,Vashon,752,S,P,S,36,0,1225521.521,126046.48,-122.5065649,47.33318081,0,SW,Tahlequah,Rd, , ,Vashon,Hwy,SW
-122.2874386,47.39147011,124,570063,Kent/Des Moines P&R ,23405 Military Road S,98032,Kent,735,S,P,KC,404,0,1280250.25,146200.125,-122.2874414,47.39146823,23405, ,Military,Rd,S, , , , 
-122.2272967,47.32101679,125,570064,Auburn P&R,101 15th St NE,98002,Auburn,730,S,P,KC,244,0,1294679.617,120229.6628,-122.2272999,47.3210148,101, ,15th,St,NE, , , , 
-122.3237413,47.72602233,126,570067,5th Ave NE/NE 133rd St P&R,5th Ave NE & NE 133rd St,98125,Seattle,710,N,P,S,46,0,1273622.819,268382.3489,-122.3237425,47.72602055,0, ,5th,Ave,NE,NE,133th,St, 
-122.1657365,47.3611602,127,570084,Lake Meridian P&R,26805 132nd Avenue SE,98031,Kent,748,S,P,KC,172,0,1310200,134600,-122.1657395,47.36115806,26805, ,132nd,Ave,SE, , , , 
-122.3202423,47.67623956,128,570085,I-5/NE 65th St./Green Lake P&R,6601 8th Ave NE,98115,Seattle,703,N,P,S,411,0,1274133,250210,-122.3202437,47.67623775,6601, ,8th,Ave,NE, , , , 
-122.2013167,47.63802381,129,570110,St Lukes Lutheran Church - Bellevue P&R,3030 Bellevue Way NE,98004,Bellevue,519,E,L, ,15,0,1303178,235729,-122.2013183,47.63802177,3030, ,Bellevue,Way,NE,NE,30th,Pl, 
-122.0147849,47.56955716,130,570116,Klahanie #1 P&R,4210 244th Pl SE,98029,Issaquah,510,E,L, ,30,0,1348775,209996,-122.0147867,47.5695547,0,SE,Klahanie,Blvd, , ,244th,Pl,SE
-122.2695809,47.48285963,131,570051,Tukwila P&R ,13435 Interurban Ave S,98168,Tukwila,746,S,P,KC,267,0,1285295,179447,-122.2695833,47.48285771,13435, ,Interurban,Ave,S, , , , 
-122.2073831,47.71104118,132,570109,Holy Spirit Lutheran Church P&R,10021 NE 124th St,98034,Kirkland,509,E,L, ,40,0,1302158.179,262385.6489,-122.2073844,47.71103917,0,NE,124th,St, , ,100th,Ave,NE
-122.285878,47.58876139,133,570111,Mercer Is United Methodist Church P&R,7070 SE 24th St,98040,Mercer Island,512,E,L, ,18,0,1281995,218145,-122.2858798,47.5887595,7070,SE,24th,St, , ,70th,Ave,SE
-122.2407642,47.75714364,134,570043,Kenmore P&R,7346 NE Bothell Way,98028,Kenmore,704,N,P,KC,606,0,1294249,279348,-122.2407652,47.75714172,7346,NE,Bothell,Way, , , , , 
-122.2383628,47.63677474,135,570146,Evergreen Point Bridge P&R,2860 Evergreen Point Rd,98039,Medina,715,E,P,S,48,0,1294038,235438,-122.2383644,47.63677278,2860,,Evergreen Point,Rd,,,SR 520,,
